Id,Text,Date,Open,Market_change
890687451156631555,"Today, we gathered in the East Room to pay tribute to the HEROES whose courageous actions under fire saved so many lives in Alexandria, VA. ",2017-07-27,51545.92,-0.66
890533442135502849,"Come on Republican Senators, you can do it on Healthcare. After 7 years, this is your chance to shine! Don't let the American people down!",2017-07-27,51545.92,-0.66
890566339462672385,"""One of the things that has been lost in the politics of this situation is that the Russians collected and spread negative information about then candidate Trump."" Catherine Herridge @FoxNews. So why doesn't Fake News report this? Witch Hunt! Purposely phony reporting.",2017-07-27,51545.92,-0.66
890764622852173826,"Go Republican Senators, Go! Get there after waiting for 7 years. Give America great healthcare!",2017-07-28,51228.42,-0.09
890820505330212864,"3 Republicans and 48 Democrats let the American people down. As I said from the beginning, let ObamaCare implode, then deal. Watch!",2017-07-28,51228.42,-0.09
890931465885798400,"If Republicans are going to pass great future legislation in the Senate, they must immediately go to a 51 vote majority, not senseless 60 Even though parts of healthcare could pass at 51, some really good things need 60. So many great future bills and budgets need 60 votes We will always ENFORCE our laws, PROTECT our borders, and SUPPORT our police! #LESMHarrisburg, Pennsylvania #FlashbackFriday #MS13 ",2017-07-28,51228.42,-0.09
891038014314598400,I am pleased to inform you that I have just named General/Secretary John F Kelly as White House Chief of Staff. He is a Great American and a Great Leader. John has also done a spectacular job at Homeland Security. He has been a true star of my Administration,2017-07-28,51228.42,-0.09
891040645581873152,I would like to thank Reince Priebus for his service and dedication to his country. We accomplished a lot together and I am proud of him!,2017-07-28,51228.42,-0.09
891334415347060736,"If a new HealthCare Bill is not approved quickly, BAILOUTS for Insurance Companies and BAILOUTS for Members of Congress will end very soon!",2017-07-31,51219.58,-0.39
891332290474848257,"After seven years of ""talking"" Repeal and Replace, the people of our great country are still being forced to live with imploding ObamaCare!",2017-07-31,51219.58,-0.39
891263843908947969,"If the Senate Democrats ever got the chance, they would switch to a 51 majority vote in first minute. They are laughing at R's. MAKE CHANGE!",2017-07-31,51219.58,-0.39
891259245106278400,"The very outdated filibuster rule must go. Budget reconciliation is killing R's in Senate. Mitch M, go to 51 Votes NOW and WIN. IT'S TIME!",2017-07-31,51219.58,-0.39
891257113565163520,"Republican Senate must get rid of 60 vote NOW! It is killing the R Party, allows 8 Dems to control country. 200 Bills sit in Senate. A JOKE!",2017-07-31,51219.58,-0.39
891253798500487168,"In other words, Russia was against Trump in the 2016 Election - and why not, I want strong military and low oil prices. Witch Hunt! ",2017-07-31,51219.58,-0.39
891260230876659713,"Republicans in the Senate will NEVER win if they don't go to a 51 vote majority NOW. They look like fools and are just wasting time .8 Dems totally control the U.S. Senate. Many great Republican bills will never pass, like Kate's Law and complete Healthcare. Get smart!",2017-07-31,51219.58,-0.39
891397134662193152,"Unless the Republican Senators are total quitters, Repeal and Replace is not dead! Demand another vote before voting on any other bill!",2017-07-31,51219.58,-0.39
891623821702295552,"Don't give up Republican Senators, the World is watching: Repeal and Replace...and go to 51 votes (nuke option), get Cross State Lines and more.",2017-07-31,51219.58,-0.39
891440474132795392,"I am very disappointed in China. Our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade, yet they do NOTHING for us with North Korea, just talk. We will no longer allow this to continue. China could easily solve this problem!",2017-07-31,51219.58,-0.39
891996053611917312,"If ObamaCare is hurting people, and it is, why shouldn't it hurt the insurance companies and why should Congress not be paying what public pays?",2017-07-31,51219.58,-0.39
892814520942460928,I campaigned on creating a merit-based immigration system that protects U.S. workers and taxpayers. Watch: #RAISEAct ,2017-08-02,51153.86,0.01
893186623193718784,"Our GREAT VETERANS can now connect w/ their VA healthcare team from anywhere, using #VAVideoConnect - available at: ",2017-08-03,51198.14,0.18
893170489820151808,"Today, I announced another historic breakthrough for the VA. We are working tirelessly to keep our promises to our GREAT VETERANS! #USA ",2017-08-03,51198.14,0.18
893081237082001409,Business is looking better than ever with business enthusiasm at record levels. Stock Market at an all-time high. That doesn't just happen!,2017-08-03,51198.14,0.18
893587008312016896,Great work being done by @FEMA @DHSgov w/state and local leaders to prepare for hurricane season. Preparedness is an investment in our future! ,2017-08-04,51240.67,0.07
893420123641479168,"West Virginia was incredible last night. Crowds and enthusiasm were beyond, GDP at 3%, wow!Dem Governor became a Republican last night.",2017-08-04,51240.67,0.07
893411790868160514,Toyota and Mazda to build a new $1.6B plant here in the U.S.A. and create 4K new American jobs. A great investment in American manufacturing! .and don't forget that Foxconn will be spending up to 10 billion dollars on a top of the line plant/plants in Wisconsin.,2017-08-04,51240.67,0.07
893417795614121985,"Consumer confidence is at a 16 year high....and for good reason. Much more regulation ""busting"" to come. Working hard on tax cuts and reform!",2017-08-04,51240.67,0.07
893864420539068417,Prosperity is coming back to our shores because we are putting America WORKERS and FAMILIES first. #AmericaFirst ,2017-08-07,51300.22,0.12
893965986566733824,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,2017-08-07,51300.22,0.12
893969438139191296,"After many years of LEAKS going on in Washington, it is great to see the A.G. taking action! For National Security, the tougher the better!",2017-08-07,51300.22,0.12
893973466508079104,United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.,2017-08-07,51300.22,0.12
894661651760377856,"I think Senator Blumenthal should take a nice long vacation in Vietnam, where he lied about his service, so he can at least say he was there",2017-08-07,51300.22,0.12
894653195112378368,The Fake News Media will not talk about the importance of the United Nations Security Council's 15-0 vote in favor of sanctions on N. Korea!,2017-08-07,51300.22,0.12
894620077634592769,On #PurpleHeartDay I thank all the brave men and women who have sacrificed in battle for this GREAT NATION! #USA ,2017-08-07,51300.22,0.12
894526670836781056,"Never in U.S.history has anyone lied or defrauded voters like Senator Richard Blumenthal. He told stories about his Vietnam battles and conquests, how brave he was, and it was all a lie. He cried like a baby and begged for forgiveness like a child. Now he judges collusion?",2017-08-07,51300.22,0.12
894518002795900928,"Hard to believe that with 24/7 #Fake News on CNN, ABC, NBC, CBS, NYTIMES and WAPO, the Trump base is getting stronger!",2017-08-07,51300.22,0.12
894521737534197762,Working hard from New Jersey while White House goes through long planned renovation. Going to New York next week for more meetings.,2017-08-07,51300.22,0.12
894525428236464128,Interesting to watch Senator Richard Blumenthal of Connecticut talking about hoax Russian collusion when he was a phony Vietnam con artist!,2017-08-07,51300.22,0.12
894512983384129536,"The Trump base is far bigger and stronger than ever before (despite some phony Fake News polling). Look at rallies in Penn, Iowa, Ohio and West Virginia. The fact is the Fake News Russian collusion story, record Stock Market, border security, military strength, jobs  Supreme Court pick, economic enthusiasm, deregulation and so much more have driven the Trump base even closer together. Will never change!",2017-08-07,51300.22,0.12
894368024765059073,Just completed call with President Moon of South Korea. Very happy and impressed with 15-0 United Nations vote on North Korea sanctions.,2017-08-07,51300.22,0.12
894981661926068228,E-mails show that the AmazonWashingtonPost and the FailingNewYorkTimes were reluctant to cover the Clinton/Lynch secret meeting in plane.,2017-08-08,51331.79,-0.12
895252459152711680,"My first order as President was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before Hopefully we will never have to use this power, but there will never be a time that we are not the most powerful nation in the world!",2017-08-09,51263.01,-0.18
895347654431035393,"Senator Mitch McConnell said I had ""excessive expectations,"" but I don't think so. After 7 years of hearing Repeal and Replace, why not done?",2017-08-09,51263.01,-0.18
895741164103639042,".@IvankaTrump will lead the U.S. delegation to India this fall, supporting women's entrepreneurship globally.#GES2017 @narendramodi",2017-08-10,51235.27,-0.65
895599179522650112,"Can you believe that Mitch McConnell, who has screamed Repeal and Replace for 7 years, couldn't get it done. Must Repeal and Replace ObamaCare!",2017-08-10,51235.27,-0.65
895686351529672704,"Mitch, get back to work and put Repeal and Replace, Tax Reform and Cuts and a great Infrastructure Bill on my desk for signing. You can do it!",2017-08-10,51235.27,-0.65
896124861571112960,"As promised on the campaign trail, we will provide opportunity for Americans to gain skills needed to succeed and thrive as the economy grows! ",2017-08-11,50895.92,-0.51
896420822780444672,We ALL must be united and condemn all that hate stands for. There is no place for this kind of violence in America. Lets come together as one!,2017-08-14,50680.43,1.03
896481262776360960,"We must remember this truth: No matter our color, creed, religion or political party, we are ALL AMERICANS FIRST. ",2017-08-14,50680.43,1.03
896512981319790592,"Condolences to the family of the young woman killed today, and best regards to all of those injured, in Charlottesville, Virginia. So sad!",2017-08-14,50680.43,1.03
897220584211439616,"Big day in Washington, D.C., even though White House and Oval Office are being renovated. Great trade deals coming for American workers!",2017-08-15,51225.54,0.34
897478270442143744,"For every CEO that drops out of the Manufacturing Council, I have many to take their place. Grandstanders should not have gone on. JOBS!",2017-08-15,51225.54,0.34
897834894822342656,"Memorial service today for beautiful and incredible Heather Heyer, a truly special young woman. She will be long remembered by all!",2017-08-16,51331.9,-0.36
897833223501344769,"Wow, Senator Luther Strange picked up a lot of additional support since my endorsement. Now in September runoff. Strong on Wall and Crime!",2017-08-16,51331.9,-0.36
898254409511129088,Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!,2017-08-17,51176.66,-0.32
898243270169563136,"The United States condemns the terror attack in Barcelona, Spain, and will do whatever is necessary to help. Be tough and strong, we love you!",2017-08-17,51176.66,-0.32
898167282727366656,Many meetings today in Bedminster including with Secretary Linda M and Small Business. Job numbers are looking great!,2017-08-17,51176.66,-0.32
