Id,Text,Date,Open,Market_change
815989154555297792,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race and victory. Hope it does well but used worst cover photo of me!",2017-01-02,86.6,-0.44
815990335318982656,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",2017-01-02,86.6,-0.44
816068355555815424,"China has been taking out massive amounts of money and wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",2017-01-03,86.21,-0.31
816354639859871745,"""Trump is already delivering the jobs he promised America"" ",2017-01-03,86.21,-0.31
816324295781740544,"""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""",2017-01-03,86.21,-0.31
816265668958031872,"The Democrat Governor.of Minnesota said ""The Affordable Care Act (ObamaCare) is no longer affordable!"" - And, it is lousy healthcare.",2017-01-03,86.21,-0.31
816264484629184513,"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",2017-01-03,86.21,-0.31
816298944456232960,"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",2017-01-03,86.21,-0.31
816637064708030464,"Somebody hacked the DNC but why did they not have ""hacking defense"" like the RNC has and why have they not responded to the terrible things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",2017-01-04,85.94,0.53
816635078067490816,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,2017-01-04,85.94,0.53
816644321768312832,"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!",2017-01-04,85.94,0.53
816452807024840704,"The ""Intelligence"" briefing on so-called ""Russian hacking"" was delayed until Friday, perhaps more time needed to build a case. Very strange!",2017-01-04,85.94,0.53
816632793862176769,"""@FoxNews: Julian Assange on U.S. media coverage: ""It's very dishonest."" #Hannity More dishonest than anyone knows",2017-01-04,85.94,0.53
816977032433270784,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""Keep you doctor, keep your plan!"" It is time for Republicans and Democrats to get together and come up with a healthcare plan that really works - much less expensive and FAR BETTER!",2017-01-05,86.41,0.55
